№ п/п,Дата,Время,"Мощность, МВт",Температура воздуха (градусы Цельсия) на высоте 2 метра над поверхностью земли,Атмосферное давление на уровне станции (миллиметры ртутного столба),"Атмосферное давление, приведенное к среднему уровню моря (миллиметры ртутного столба) ",Относительная влажность (%) на высоте 2 метра над поверхностью земли,"Направление ветра (румбы) на высоте 10-12 метров над земной поверхностью, осредненное за 10-минутный период , непосредственно предшествовавший сроку наблюдения ","Скорость ветра на высоте 10-12 метров над земной поверхностью, осредненное за 10-минутный период , непосредственно предшествовавший сроку наблюдения (метры в секунду) ",Общая облачность,"Текущая погода, сообщаемая с метеорологической станции ",Прошедшая погода между сроками наблюдения 1,Прошедшая погода между сроками наблюдения 2,"Слоисто-кучевые, слоитсые, кучевые и кучево-дождевые облака","Количество всех наблюдающихся облаков Cl или, при отсутствии облаков Cl, количество всех наблюдащихся облаков Cm",Высота основания самых низких облаков (м),"Высококучевые, высокослоистые и слоисто-дождевые облака","Перистые, перисто-кучевые и перисто-слоистые облака",Горизонтальная дальность видимости (км),,,,,,,,,,,,,,,,,,,,,,,,,
14,26/04/19 16:00,16:00,3.467611111,27.5,762.1,762.6,19,292.5,3,70 – 80%., ,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",70 – 80%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,26/04/19 19:00,19:00,0.078222222,25.5,761.8,762.3,24,292.5,2,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,26/04/19 22:00,22:00,0,17.6,762.7,763.2,43,0,1,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,27/04/19 1:00,1:00,0,13.5,762.6,763.1,61,315,1,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,27/04/19 4:00,4:00,0.154333333,12.7,762.1,762.7,64,45,2,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,27/04/19 7:00,7:00,4.261555556,11.1,762.5,763.0,77,202.5,1,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,27/04/19 10:00,10:00,7.928777778,21.5,762.1,762.7,45,180,2,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,27/04/19 13:00,13:00,9.475333333,24.6,762.0,762.4,32,45,3,40%., ,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",40%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
22,27/04/19 16:00,16:00,1.959166667,26.3,760.7,761.2,25,247.5,3,70 – 80%., ,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
23,27/04/19 19:00,19:00,0.009444444,20.7,760.4,760.9,35,45,3,100%.,"Гроза, но без осадков, в срок наблюдения. ",Гроза (грозы) с осадками или без них.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.",20–30%.,600-1000,"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,27/04/19 22:00,22:00,0,16.2,760.5,760.9,56,112.5,2,40%.,Состояние неба в общем не изменилось. ,Гроза (грозы) с осадками или без них.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",40%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
25,28/04/19 1:00,1:00,0,14.9,759.6,760.0,62,157.5,3,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,28/04/19 4:00,4:00,0.158888889,14.8,759.0,759.4,50,202.5,3,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
27,28/04/19 7:00,7:00,5.056111111,12.0,758.3,758.8,67,180,2,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
28,28/04/19 10:00,10:00,11.44427778,19.3,758.4,758.8,46,202.5,3,40%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
29,28/04/19 13:00,13:00,10.09677778,24.8,757.2,757.7,27,202.5,3,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,28/04/19 16:00,16:00,1.909055556,22.2,756.4,756.8,34,112.5,3,70 – 80%.,Гроза (с осадками или без них). ,Гроза (грозы) с осадками или без них.,Ливень (ливни).,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",50%.,600-1000,Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,28/04/19 19:00,19:00,0.078055556,22.2,755.5,756.0,35,202.5,4,70 – 80%., ,,,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.","10%  или менее, но не 0",600-1000,"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
32,28/04/19 22:00,22:00,0,15.5,755.8,756.4,57,202.5,4,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.","Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
33,29/04/19 1:00,1:00,0,15.9,756.1,756.6,55,315,2,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",60%.,"2500 или более, или облаков нет.",Высокослоистые непросвечивающие или слоисто-дождевые.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,29/04/19 4:00,4:00,0.047111111,13.9,756.4,756.9,68,,0,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высокослоистые непросвечивающие или слоисто-дождевые.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
35,29/04/19 7:00,7:00,1.709944444,7.8,757.8,758.3,90,0,6,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,300-600,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
36,29/04/19 10:00,10:00,2.931388889,7.5,759.7,760.3,85,22.5,4,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,29/04/19 13:00,13:00,5.631444444,8.9,760.6,761.2,78,0,5,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,29/04/19 16:00,16:00,1.384277778,10.7,761.1,761.6,81,0,5,100%., ,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",20–30%.,1000-1500,Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
39,29/04/19 19:00,19:00,0.0785,11.1,761.6,762.1,37,22.5,3,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевые, образовавшиеся из кучевых.",20–30%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
40,29/04/19 22:00,22:00,0,8.4,763.2,763.7,48,22.5,2,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",60%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
41,30/04/19 1:00,1:00,0,7.4,764.1,764.6,52,45,4,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
42,30/04/19 4:00,4:00,0.158777778,6.2,764.6,765.1,51,67.5,4,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
43,30/04/19 7:00,7:00,2.721,5.7,765.1,765.7,55,67.5,3,100%., ,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,1000-1500,Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
44,30/04/19 10:00,10:00,3.459777778,7.8,765.6,766.1,43,90,4,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
45,30/04/19 13:00,13:00,2.026888889,7.4,766.0,766.5,46,90,4,100%., ,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",40%.,600-1000,"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
46,30/04/19 16:00,16:00,0.503666667,5.1,765.4,766.0,70,90,4,100%., ,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","10%  или менее, но не 0",600-1000,"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
47,30/04/19 19:00,19:00,0.000944444,4.7,764.8,765.3,76,67.5,3,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
48,30/04/19 22:00,22:00,0,5.4,764.8,765.3,72,67.5,2,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
49,01/05/19 1:00,1:00,0,6.3,763.6,764.2,73,90,3,100%., ,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
50,01/05/19 4:00,4:00,0.051611111,6.4,762.8,763.3,74,67.5,3,100%., ,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
51,01/05/19 7:00,7:00,1.395555556,5.5,762.5,763.0,79,45,4,100%., ,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
52,01/05/19 10:00,10:00,2.196277778,7.5,762.7,763.3,66,45,4,100%., ,,,"Слоисто-кучевые, образовавшиеся из кучевых.",100%.,600-1000,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
53,01/05/19 13:00,13:00,3.852722222,9.3,762.9,763.4,55,45,4,100%., ,,,"Слоисто-кучевые, образовавшиеся из кучевых.",100%.,600-1000,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
54,01/05/19 16:00,16:00,2.434666667,11.3,761.9,762.4,49,67.5,5,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
55,01/05/19 19:00,19:00,0.082555556,11.5,761.2,761.7,52,67.5,3,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
56,01/05/19 22:00,22:00,0,9.2,761.4,761.9,60,90,4,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",50%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
57,02/05/19 1:00,1:00,0,8.9,760.3,760.8,64,90,5,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
58,02/05/19 4:00,4:00,0.203611111,8.8,758.3,758.8,74,90,5,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
59,02/05/19 7:00,7:00,4.085055556,9.2,757.4,757.9,79,112.5,4,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
60,02/05/19 10:00,10:00,9.133611111,15.1,757.4,757.9,63,135,5,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.","Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
61,02/05/19 13:00,13:00,9.440055556,21.9,756.9,757.4,40,135,5,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
62,02/05/19 16:00,16:00,3.031166667,24.7,755.9,756.4,32,135,3,40%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
63,02/05/19 19:00,19:00,0.085166667,22.4,755.2,755.6,41,135,3,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
64,02/05/19 22:00,22:00,0,18.4,755.5,755.9,45,135,2,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
65,03/05/19 1:00,1:00,0,15.3,755.0,755.5,56,67.5,2,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
66,03/05/19 4:00,4:00,0.127722222,12.0,754.3,754.7,73,0,1,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
67,03/05/19 7:00,7:00,1.002222222,12.3,753.5,754.0,82,22.5,3,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
68,03/05/19 10:00,10:00,5.354666667,13.7,753.1,753.6,84,315,4,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
69,03/05/19 13:00,13:00,4.832444444,16.1,753.6,754.1,84,315,4,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.",20–30%.,600-1000,"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
70,03/05/19 16:00,16:00,2.453333333,15.8,754.3,754.8,92,292.5,4,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.",100%.,600-1000,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
